run,dataset,smoothing,method,label,corr_sigma_ms,trial,start_s,end_s,correlation,notebook_cell,notebook_series_spec,series_key,display_method,method_family,comparison_context,code_ocean_runnable,notes
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,10.0,0,292.946861000004,309.3430809999991,0.9063468806056134,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,10.0,1,435.3267599999963,451.72298000000586,0.832569213879579,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,10.0,2,712.319141,728.715440999993,0.943992892499765,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,10.0,3,910.8763400000025,927.2727400000003,0.8594723567445172,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,10.0,4,1080.6849610000063,1097.081361000004,0.920361861367497,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,20.0,0,292.946861000004,309.3430809999991,0.9420381542176656,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,20.0,1,435.3267599999963,451.72298000000586,0.873259093576108,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,20.0,2,712.319141,728.715440999993,0.9745852522038252,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,20.0,3,910.8763400000025,927.2727400000003,0.9000032084227413,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,20.0,4,1080.6849610000063,1097.081361000004,0.9553743149753369,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,30.0,0,292.946861000004,309.3430809999991,0.9511550536050527,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,30.0,1,435.3267599999963,451.72298000000586,0.8877435071403013,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,30.0,2,712.319141,728.715440999993,0.9775373720884875,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,30.0,3,910.8763400000025,927.2727400000003,0.9133182017581883,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,30.0,4,1080.6849610000063,1097.081361000004,0.9634446911301205,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,40.0,0,292.946861000004,309.3430809999991,0.9545933916808098,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,40.0,1,435.3267599999963,451.72298000000586,0.8951763624595749,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,40.0,2,712.319141,728.715440999993,0.9789792787250913,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,40.0,3,910.8763400000025,927.2727400000003,0.9171098577220272,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,40.0,4,1080.6849610000063,1097.081361000004,0.9663397532515839,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,50.0,0,292.946861000004,309.3430809999991,0.9564336309681674,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,50.0,1,435.3267599999963,451.72298000000586,0.9018691240293839,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,50.0,2,712.319141,728.715440999993,0.9800820119463034,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,50.0,3,910.8763400000025,927.2727400000003,0.9175168825147614,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,50.0,4,1080.6849610000063,1097.081361000004,0.9679940862980361,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,75.0,0,292.946861000004,309.3430809999991,0.9595330584451801,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,75.0,1,435.3267599999963,451.72298000000586,0.9181387248452437,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,75.0,2,712.319141,728.715440999993,0.9821163488813832,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,75.0,3,910.8763400000025,927.2727400000003,0.9170240280494093,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
pgas_jG8f_params,jGCaMP8f_ANM471993_cell01,raw,pgas,pgas,75.0,4,1080.6849610000063,1097.081361000004,0.9718155200401496,3,pgas@pgas_jG8f_params,smc_jgcamp8f_extracted_parameters,BiophysSMC jGCaMP8f-extracted parameters,biophys_smc_parameterization,jGCaMP8f_smc_gcamp_parameter_extraction_comparison,true,SMC/PGAS using jGCaMP8f-specific extracted GCaMP parameters.
