G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
6.01539e-05,788.608,1.44142e-05,5.10813,5.07303,5.00639,0.00365184,0.00337608,0.916015,0.0956637,0.172756
6.38776e-05,811.076,1.44142e-05,5.07953,4.86235,5.08132,0.00392333,0.016958,1.28777,0.112859,0.111821
6.49174e-05,811.076,1.44142e-05,5.05936,4.62254,4.92666,0.00389454,0.0393157,1.86184,0.0749987,0.142219
6.51847e-05,833.688,1.43852e-05,5.12362,4.47314,5.11514,0.00409336,0.0383348,1.89899,0.115457,0.125438
6.51847e-05,858.841,1.46987e-05,5.12362,4.47079,5.11514,0.00386788,0.0332506,0.962881,0.0605266,0.0510451
6.42735e-05,836.794,1.49376e-05,5.12362,4.48757,5.09294,0.00388476,0.0131325,0.768537,0.129737,0.110467
6.40068e-05,840.604,1.44581e-05,5.3025,4.48757,5.09294,0.00390582,0.129109,0.952366,0.184773,0.0543075
6.36438e-05,860.667,1.44618e-05,5.3025,4.48757,5.09294,0.00392282,0.00398699,0.901789,0.0750031,0.0772865
6.61458e-05,866.355,1.44904e-05,5.3025,4.48757,5.05573,0.00400852,0.0385047,0.678467,0.109762,0.0905093
6.61458e-05,851.258,1.4563e-05,5.38642,4.52502,5.14167,0.00404268,0.032245,1.2685,0.0957915,0.128388
6.61242e-05,851.258,1.41094e-05,5.36833,4.34727,5.37993,0.00417199,0.0223902,1.46691,0.129194,0.0955905
6.77117e-05,839.588,1.41094e-05,5.45823,4.34727,5.42328,0.00389049,0.0472056,1.15238,0.10047,0.0757386
6.77117e-05,842.04,1.4254e-05,5.45823,4.27468,5.44213,0.00406661,0.0142124,1.23835,0.116426,0.103843
6.77117e-05,842.04,1.41383e-05,5.45823,4.49728,5.98755,0.00425049,0.11002,1.6831,0.0888086,0.139881
6.77117e-05,849.743,1.40981e-05,5.34698,4.49728,5.85172,0.00397781,0.0875409,1.39976,0.149779,0.105608
6.77117e-05,841.021,1.43075e-05,5.26573,4.66171,5.53298,0.00372218,0.11661,1.04696,0.115205,0.0744248
6.80363e-05,841.021,1.40402e-05,5.26573,4.66171,5.555,0.00360301,0.192149,0.895025,0.110287,0.0863165
6.80363e-05,860.291,1.40405e-05,5.29704,4.27234,5.47178,0.00384827,0.0710521,1.21306,0.100832,0.0967238
6.76347e-05,835.2,1.41158e-05,5.29704,4.32728,5.52622,0.00366413,0.0141809,1.21332,0.11733,0.100553
6.76347e-05,850.527,1.4379e-05,5.29704,4.46021,5.45211,0.00384088,0.0232967,0.94281,0.0845472,0.0646237
6.66631e-05,837.24,1.4379e-05,5.19486,4.46021,5.71619,0.00397715,0.0177467,1.04407,0.122004,0.134289
6.68959e-05,849.907,1.4379e-05,5.19486,4.26802,5.58652,0.00394574,0.0321187,1.0731,0.147146,0.0819086
6.74741e-05,849.907,1.4379e-05,5.27577,4.23997,5.46032,0.00382763,0.00855114,1.08937,0.10866,0.131119
7.06733e-05,806.889,1.45521e-05,5.23805,4.23997,5.53653,0.0038413,0.00863395,1.06895,0.0780721,0.0675991
7.22256e-05,786.289,1.45521e-05,5.23805,4.25432,5.74003,0.00357899,0.0253708,1.28684,0.0528659,0.135114
7.22256e-05,791.755,1.45324e-05,5.29594,3.87422,6.04484,0.0039105,0.0768937,1.30745,0.12731,0.0598485
7.41257e-05,791.755,1.45324e-05,5.28763,4.26674,6.04484,0.00387583,0.0185527,1.18998,0.124075,0.0955319
7.43933e-05,815.741,1.50605e-05,5.28763,4.27554,5.75052,0.00410708,0.0164301,0.876848,0.118499,0.054011
7.37003e-05,824.432,1.53273e-05,5.28763,4.64111,5.60021,0.00400768,0.0689944,1.33436,0.12247,0.078491
7.15058e-05,824.432,1.53273e-05,5.28763,4.99272,6.13975,0.00393264,0.0258124,0.959171,0.101785,0.0847343
7.15058e-05,813.025,1.54096e-05,5.21823,4.99022,5.84888,0.00404504,0.0310671,0.989684,0.095794,0.0881913
7.27534e-05,813.025,1.5219e-05,5.21823,5.09297,6.19241,0.00405272,0.0103245,1.0019,0.123804,0.0775291
7.23026e-05,813.025,1.52611e-05,5.28599,5.03789,5.70535,0.00388521,0.11505,0.679923,0.0847862,0.070974
7.00824e-05,839.5,1.52611e-05,5.24533,4.87623,5.56407,0.0040029,0.122926,0.860222,0.113842,0.111349
7.27459e-05,854.901,1.52611e-05,5.24533,4.9591,5.61983,0.00388565,0.145327,1.11295,0.150742,0.0578209
7.0519e-05,889.731,1.53073e-05,5.24533,5.04934,5.73106,0.00386862,0.0521518,1.10826,0.11703,0.0952531
7.0519e-05,868.742,1.50855e-05,5.1492,4.83322,5.73106,0.00377574,0.0444659,1.3314,0.0896776,0.0481757
7.1436e-05,855.752,1.50855e-05,5.1492,4.83322,6.1493,0.00390264,0.0207514,0.933644,0.0672343,0.105484
7.08515e-05,865.94,1.50855e-05,5.1492,4.80393,5.99281,0.00394276,0.106186,0.8111,0.0716925,0.0903775
7.08515e-05,865.94,1.50855e-05,5.1492,4.4217,5.99281,0.0040223,0.00722225,1.33194,0.0938424,0.135438
6.77966e-05,861.29,1.48122e-05,5.1492,4.54667,5.91664,0.00390809,0.0766109,1.35652,0.123013,0.20656
7.05318e-05,881.376,1.48679e-05,5.1492,4.54667,5.76587,0.00398985,0.0536146,1.47986,0.0837193,0.105313
7.26018e-05,883.852,1.48679e-05,5.1492,4.59873,5.74688,0.00384223,0.0803564,2.15233,0.0997233,0.0670885
7.14968e-05,873.643,1.48679e-05,5.1643,4.94342,5.74688,0.00375989,0.0501548,1.97921,0.170938,0.196462
7.18675e-05,877.381,1.48679e-05,5.23312,4.94342,6.11114,0.00389563,0.00604028,1.05184,0.08083,0.218358
6.8308e-05,867.899,1.48679e-05,5.23312,4.92083,6.25218,0.00409301,0.0528129,1.65389,0.0856556,0.11687
7.05648e-05,861.854,1.48679e-05,5.19677,5.03413,5.93502,0.00384281,0.0939477,1.46413,0.108029,0.100141
6.89926e-05,836.342,1.48679e-05,5.19677,5.03413,5.52041,0.00361015,0.0994468,2.64637,0.142025,0.146152
7.17002e-05,836.342,1.48679e-05,5.19677,4.89406,5.29277,0.00390545,0.0311327,1.66672,0.156934,0.126629
7.27619e-05,836.342,1.45027e-05,5.20581,5.00058,5.47114,0.00413952,0.000309506,1.42078,0.114399,0.141725
7.30988e-05,824.585,1.45027e-05,5.25662,5.18085,5.54504,0.00404471,0.00686967,1.62735,0.137393,0.0702184
7.07642e-05,823.071,1.4604e-05,5.24148,5.31471,5.238,0.00388199,0.0324529,2.00188,0.127129,0.0792232
7.07642e-05,841.537,1.4604e-05,5.24148,5.0064,5.88512,0.00379201,0.0481652,1.13748,0.155786,0.132419
7.25459e-05,804.95,1.4482e-05,5.24148,4.98825,5.88512,0.00399846,0.00195352,1.86032,0.0934197,0.126205
7.25459e-05,798.755,1.4482e-05,5.40464,4.98825,5.37815,0.00389115,0.0570836,1.56915,0.110493,0.0905461
7.25459e-05,798.755,1.45468e-05,5.40464,4.65986,5.14713,0.0037522,0.0608606,1.51852,0.149569,0.12325
7.25459e-05,769.777,1.4548e-05,5.40464,4.65615,5.41495,0.00387472,0.0344806,1.42803,0.0856312,0.0830367
7.24677e-05,787.014,1.4548e-05,5.40777,4.57879,5.41495,0.00391035,0.04563,1.77261,0.104396,0.0784876
7.41771e-05,787.014,1.42549e-05,5.40777,4.57017,5.89883,0.00382424,0.00188813,1.95457,0.146249,0.110922
7.29234e-05,773.533,1.426e-05,5.29035,4.95478,5.97415,0.00390644,0.018876,1.11588,0.0864747,0.119396
7.29234e-05,770.788,1.46961e-05,5.10911,5.05319,5.77954,0.00382177,0.0204665,0.879732,0.122059,0.0772993
7.29234e-05,783.195,1.43849e-05,5.30295,5.05319,5.66461,0.00386604,0.0496,1.6091,0.111229,0.170632
7.07723e-05,783.195,1.43849e-05,5.30259,5.18581,5.7004,0.00381345,0.00716433,1.41562,0.101523,0.178001
6.90542e-05,794.859,1.43849e-05,5.25767,5.11014,5.68315,0.00407732,0.102949,2.05292,0.122249,0.113358
6.79456e-05,831.091,1.4398e-05,5.25767,5.11014,5.87834,0.00387701,0.0480406,2.11142,0.0773285,0.145946
6.85529e-05,831.091,1.4398e-05,5.26615,5.07016,5.87834,0.00385383,0.0549128,1.85955,0.0945208,0.174792
6.85497e-05,842.36,1.4398e-05,5.26615,5.27869,5.69132,0.00379599,0.166107,1.55051,0.0952793,0.0891523
7.55981e-05,842.36,1.4398e-05,5.17237,5.27869,5.90906,0.003951,0.0740583,1.15768,0.153274,0.112987
7.50814e-05,842.36,1.46827e-05,5.20235,5.26839,6.22084,0.00388231,0.0596701,1.01549,0.075976,0.12144
7.50814e-05,842.36,1.49109e-05,5.20235,5.26839,6.28511,0.00410409,0.00953448,1.06767,0.156079,0.121501
7.46011e-05,842.36,1.52766e-05,5.20235,5.26839,6.10778,0.00389688,0.0122552,1.69964,0.163827,0.084516
7.46011e-05,842.36,1.52766e-05,5.09987,5.04807,6.36194,0.00387048,0.0057144,1.64779,0.149755,0.0823543
7.57306e-05,852.602,1.52766e-05,5.13968,5.03659,6.38985,0.00386118,0.07618,1.71757,0.117389,0.177829
7.64374e-05,811.227,1.52766e-05,5.13968,5.06985,6.61068,0.00391122,0.0564698,1.34636,0.095784,0.0925431
7.66183e-05,828.847,1.52766e-05,5.13968,4.97224,6.25579,0.00401473,0.0344926,1.18712,0.0928567,0.07877
7.66183e-05,822.401,1.52766e-05,5.08105,5.51225,6.25579,0.00382321,0.0242787,1.16089,0.139881,0.135305
7.27864e-05,799.435,1.51735e-05,5.08105,5.81201,6.2136,0.00391245,0.00602152,1.32593,0.156812,0.0941245
7.27864e-05,799.435,1.51735e-05,5.1221,5.78373,6.92253,0.00387378,0.00505433,1.46504,0.0533523,0.0905913
7.27864e-05,814.323,1.48306e-05,5.1221,5.45526,6.9129,0.00388659,0.0599504,1.29362,0.0781699,0.0968191
7.27864e-05,808.924,1.50644e-05,5.21532,5.53128,6.85113,0.00403518,0.0475939,1.33155,0.12608,0.154381
7.1444e-05,808.924,1.50644e-05,5.10761,5.65525,6.6453,0.00393602,0.0587447,1.00806,0.106107,0.0849103
6.80005e-05,808.924,1.51036e-05,5.01183,5.50802,6.6453,0.00412747,0.0599534,1.05506,0.100486,0.0970739
6.62729e-05,795.918,1.49107e-05,5.01183,5.41785,6.6453,0.00387387,0.0228095,1.70696,0.131912,0.0656847
6.45715e-05,785.052,1.49107e-05,4.79053,5.27407,6.6453,0.00392722,0.11241,1.30405,0.0877943,0.101625
6.45715e-05,785.052,1.47903e-05,4.79053,5.34614,6.93933,0.00389139,0.148695,1.43866,0.0751966,0.0800703
6.25423e-05,785.052,1.47903e-05,4.79053,5.34547,7.13465,0.00392141,0.0755379,1.29017,0.105343,0.124198
6.23503e-05,828.934,1.47903e-05,4.79294,5.39482,7.0992,0.00378336,0.0155364,1.37587,0.0787751,0.0608505
6.24126e-05,818.469,1.46023e-05,4.7545,5.39482,7.0992,0.00376719,0.0357676,1.4435,0.0915856,0.0907526
6.36683e-05,818.469,1.4632e-05,4.95513,5.5323,7.01228,0.00401292,0.0529151,1.28334,0.0972277,0.103153
6.55229e-05,818.469,1.4632e-05,4.95513,5.75166,7.14501,0.00410389,0.0854574,1.35987,0.137864,0.0915582
6.40824e-05,818.469,1.4632e-05,5.01233,5.62668,7.50607,0.00375277,0.102721,1.34316,0.09287,0.0743488
6.00145e-05,818.469,1.44884e-05,5.05655,5.55546,6.94102,0.00403865,0.0450556,1.45546,0.0879592,0.133938
5.94765e-05,818.469,1.46221e-05,5.05655,5.54958,6.39086,0.00391318,0.0220346,1.51908,0.143253,0.118462
5.97767e-05,807.537,1.43752e-05,5.05655,5.54958,6.38693,0.00396819,0.0197943,1.98756,0.0826465,0.110072
5.97767e-05,781.989,1.38893e-05,5.05655,5.33868,5.95035,0.00385375,0.0299919,1.82104,0.102778,0.0716752
6.08956e-05,781.989,1.39086e-05,5.05655,5.08197,6.06399,0.00385118,0.0722872,0.925151,0.0833868,0.0658611
6.02043e-05,805.754,1.39086e-05,5.05655,4.8489,5.93238,0.0040189,0.00914994,1.27313,0.104198,0.107459
6.02043e-05,816.392,1.39086e-05,5.05655,5.12619,5.93238,0.00391903,0.0211841,1.0005,0.169245,0.0814746
6.02043e-05,816.392,1.39086e-05,5.02702,5.12619,5.77529,0.00391361,0.140705,1.15259,0.137985,0.111349
5.83888e-05,795.048,1.38069e-05,5.02702,4.83699,6.00317,0.00383698,0.048905,1.81899,0.0997601,0.0990428
5.83888e-05,795.048,1.38069e-05,5.02702,4.83144,6.20319,0.00392482,0.0100057,1.61439,0.114424,0.126408
5.62772e-05,795.048,1.39952e-05,5.02702,4.85763,6.33783,0.00392,0.0192289,1.39174,0.0933033,0.0716767
5.64061e-05,795.048,1.39952e-05,5.02702,5.13497,6.51433,0.00389287,0.0939066,1.06996,0.146588,0.152215
5.71033e-05,812.55,1.39952e-05,5.02702,5.00508,6.55326,0.00384432,0.0258874,1.65365,0.0741064,0.116183
5.79649e-05,798.88,1.39952e-05,5.02702,5.00508,6.74443,0.00392728,0.127714,2.16129,0.144101,0.163371
5.79649e-05,795.592,1.39952e-05,5.02702,4.83805,6.81611,0.00398567,0.0453215,2.62713,0.0761442,0.093515
5.68679e-05,817.434,1.39952e-05,5.1081,4.63236,6.81611,0.00372036,0.00628305,1.58949,0.104367,0.130634
5.67472e-05,817.434,1.39952e-05,5.05863,4.57365,6.747,0.00399557,0.00765981,1.69403,0.130524,0.099967
5.64037e-05,804.749,1.33766e-05,5.05863,4.48743,6.747,0.00394035,0.0438051,1.50416,0.0667527,0.0910686
5.68279e-05,804.749,1.33257e-05,5.05863,4.65132,6.23224,0.00408816,0.00521803,1.29078,0.106711,0.103646
5.68279e-05,821.403,1.31177e-05,5.06816,4.71938,6.24895,0.0037883,0.0197035,0.752353,0.163245,0.0682066
5.81907e-05,854.448,1.31296e-05,5.21935,4.71938,6.57748,0.00400001,0.0690554,1.21356,0.0851329,0.118579
5.60552e-05,854.448,1.29639e-05,5.21935,4.71938,6.52873,0.00381219,0.0248635,1.03293,0.109045,0.0998533
5.60552e-05,854.448,1.29639e-05,5.25575,4.63835,6.15903,0.00408555,0.02638,0.921092,0.106527,0.106647
5.60333e-05,805.871,1.27813e-05,5.25575,4.57389,6.15903,0.00386596,0.00827271,1.47939,0.102361,0.124698
5.48792e-05,814.88,1.27813e-05,5.22502,4.52441,6.15903,0.00391039,0.0313051,1.03612,0.144989,0.0694095
5.6535e-05,814.88,1.27813e-05,5.0979,4.58606,5.92224,0.00393033,0.0383931,2.10365,0.0933064,0.0917672
5.6535e-05,817.138,1.27813e-05,5.27145,4.52334,5.55328,0.00394398,0.0332484,1.53766,0.114724,0.0905192
5.73279e-05,817.138,1.31483e-05,5.27145,4.74974,5.12993,0.00382835,0.0498682,1.46916,0.156872,0.112444
5.7066e-05,768.162,1.29729e-05,5.19089,4.60982,5.0066,0.0038958,0.00343785,1.16525,0.0760705,0.0520696
6.02124e-05,756.139,1.29396e-05,5.29437,4.47474,5.04504,0.00378673,0.00863415,1.36758,0.133958,0.193636
6.02124e-05,788.39,1.25691e-05,5.29437,4.62492,4.83929,0.00383991,0.0027459,2.09092,0.143232,0.117373
5.98839e-05,770.731,1.25691e-05,5.29437,4.6808,5.12381,0.00407843,0.0069802,2.0398,0.0982503,0.259591
5.69106e-05,743.75,1.25974e-05,5.18501,4.6808,5.06428,0.00380077,0.0401562,1.59789,0.132908,0.131903
5.69106e-05,709.335,1.25974e-05,5.14342,4.96133,4.97764,0.00386536,0.0203638,1.31944,0.0952987,0.0895295
5.85946e-05,709.335,1.25974e-05,5.14342,4.94917,4.8874,0.00394718,0.030402,1.15547,0.0888755,0.158526
5.56523e-05,698.853,1.28297e-05,5.04804,5.08128,4.8874,0.00388433,0.0483144,1.65572,0.0629407,0.138356
5.81018e-05,695.428,1.28297e-05,5.04995,4.91925,5.26055,0.00390738,0.259145,1.2296,0.0836053,0.112044
6.14616e-05,698.379,1.28297e-05,5.04995,4.80563,5.36055,0.00385754,0.0282285,1.4154,0.112761,0.0797006
6.08819e-05,697.857,1.28297e-05,5.08201,4.65125,5.73897,0.00407101,0.0289292,1.77965,0.128909,0.0990422
6.05703e-05,693.361,1.29505e-05,5.13146,4.71027,5.47188,0.00412031,0.0253244,1.46388,0.0969981,0.143541
6.0047e-05,693.361,1.29505e-05,4.99026,4.68626,5.21917,0.00388675,0.029547,1.25426,0.100643,0.0913122
5.99769e-05,692.644,1.29465e-05,4.98293,4.82789,5.3371,0.00397111,0.0307286,1.1662,0.135551,0.115771
6.11904e-05,724.429,1.29465e-05,4.98293,4.83238,5.19517,0.00393474,0.0126537,1.55887,0.14562,0.155811
5.94426e-05,718.735,1.29465e-05,4.98293,4.96975,5.26586,0.00396832,0.00810002,1.66253,0.112878,0.132203
6.13063e-05,718.735,1.30646e-05,4.98293,5.1081,5.43131,0.00397677,0.00427077,1.57172,0.122931,0.122933
6.13063e-05,718.735,1.32524e-05,4.99552,5.07037,5.25161,0.00386731,0.00560712,1.65375,0.120921,0.0900564
6.35255e-05,718.735,1.32524e-05,5.24854,5.02329,5.25161,0.00395583,0.000621515,1.40145,0.109611,0.132858
6.3002e-05,718.735,1.26697e-05,5.33275,5.02329,5.27512,0.00383812,0.000511638,1.89463,0.105025,0.0989595
5.84157e-05,725.343,1.26697e-05,5.33275,5.2718,5.27512,0.00390873,0.000922321,2.03774,0.194752,0.117915
5.84543e-05,725.343,1.27466e-05,5.33275,5.27743,5.27512,0.00418919,0.0416176,1.84136,0.165649,0.135579
5.95534e-05,766.432,1.27466e-05,5.34931,5.12866,5.27512,0.0040562,0.00690676,1.52097,0.114961,0.0637351
5.90569e-05,766.432,1.25817e-05,5.39209,5.2569,5.75794,0.00401523,0.0472763,2.08152,0.122765,0.128239
5.97152e-05,766.432,1.25817e-05,5.39209,4.86579,5.81198,0.0039238,0.0144116,2.28796,0.0774949,0.123226
5.75616e-05,766.432,1.25817e-05,5.39209,5.09733,5.48154,0.0039925,0.0319965,1.81658,0.135202,0.0761924
5.75616e-05,758.967,1.27283e-05,5.28484,5.45935,5.65891,0.00386413,0.0458756,0.988318,0.152368,0.113245
5.75616e-05,778.073,1.26395e-05,5.28484,5.71985,5.53862,0.00380242,0.0563732,1.0903,0.109249,0.0675823
5.75616e-05,748.219,1.26395e-05,5.10615,5.72242,5.39972,0.00407429,0.0252334,1.0552,0.0830795,0.0767249
5.59154e-05,751.43,1.25942e-05,5.15635,6.1517,5.64814,0.00383501,0.0345461,1.87736,0.070661,0.134433
5.59712e-05,715.291,1.26373e-05,5.15635,5.97083,5.64814,0.00388746,0.0511607,1.71581,0.0920543,0.100138
5.53088e-05,715.291,1.27275e-05,5.15635,5.81059,5.65277,0.00392871,0.0292973,1.39376,0.081472,0.0893833
5.68174e-05,702.698,1.25603e-05,5.15635,5.60279,5.65277,0.00371653,0.0294582,0.999647,0.1334,0.122307
5.6106e-05,702.698,1.2123e-05,5.15635,5.92197,5.70593,0.0038845,0.0306956,1.52089,0.104604,0.165856
5.45471e-05,676.167,1.21237e-05,5.15635,5.80309,5.62769,0.00382162,0.103729,1.53319,0.107014,0.131562
5.45471e-05,669.205,1.21237e-05,5.19581,5.84733,5.62769,0.00385753,0.0393257,1.12708,0.152918,0.14652
5.37775e-05,669.092,1.21274e-05,5.07185,5.66117,5.34774,0.00375346,0.048046,1.66732,0.11107,0.125944
5.37775e-05,669.092,1.21594e-05,5.26768,5.76859,5.12936,0.00379232,0.0530919,1.47215,0.0917137,0.116501
5.04849e-05,700.895,1.21594e-05,5.18345,5.81677,5.03092,0.00401637,0.0181672,1.73076,0.101342,0.0953191
4.97275e-05,700.895,1.24019e-05,5.18345,5.64721,5.21476,0.00396208,0.00431035,2.73656,0.158787,0.0802358
4.95947e-05,700.895,1.24019e-05,5.07083,5.71829,5.43926,0.00398079,0.0237592,1.7778,0.101372,0.088221
5.03009e-05,693.639,1.24019e-05,5.07083,5.49549,5.39842,0.00394822,0.00823531,1.59387,0.122487,0.099126
5.16053e-05,693.975,1.25402e-05,5.07083,5.283,5.53614,0.00391218,0.00177304,1.10434,0.1054,0.0841668
