G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
6.047e-05,746.502,1.41276e-05,5.08495,5.16171,5.01003,0.00390922,0.0208728,1.59836,0.116022,0.0926158
5.90735e-05,745.99,1.41276e-05,4.93065,5.20609,4.98905,0.00412184,0.0836887,1.33517,0.124722,0.231569
5.74146e-05,745.99,1.41276e-05,4.73956,5.16642,5.19749,0.00379288,0.0248157,1.3083,0.153048,0.222101
5.68893e-05,738.717,1.41276e-05,4.73956,5.1414,5.08139,0.00416831,0.00940099,1.51034,0.120901,0.0909678
5.48342e-05,757.408,1.41276e-05,4.75802,5.1414,4.95503,0.00395711,0.176525,1.35987,0.113799,0.126967
5.48342e-05,757.408,1.42678e-05,4.81889,5.42832,5.17926,0.0040492,0.00373343,1.07381,0.145184,0.0694521
5.48342e-05,774.379,1.41282e-05,4.81843,5.42832,5.26563,0.00404862,0.0106987,1.43878,0.108557,0.0640804
5.86053e-05,764.829,1.4156e-05,5.0196,6.04959,5.57203,0.00380663,0.0820108,1.38573,0.227561,0.166062
6.02968e-05,764.829,1.4156e-05,5.0196,6.26763,5.57203,0.00382658,0.0377074,1.83146,0.0879681,0.0934827
5.95631e-05,764.829,1.436e-05,4.97403,6.2717,5.48875,0.00364887,0.0104272,1.29327,0.0891911,0.0993988
6.04931e-05,764.829,1.42685e-05,4.96533,6.2717,5.24181,0.00363972,0.00430033,1.37035,0.113763,0.0759304
6.16771e-05,799.031,1.42685e-05,4.9268,6.09093,5.24966,0.00371926,0.0455123,2.00396,0.0814959,0.0846248
6.04462e-05,807.59,1.42685e-05,4.90556,5.98176,4.83456,0.00381924,0.0197892,1.07991,0.0663819,0.0423404
6.04462e-05,788.72,1.42685e-05,4.90935,5.98176,4.62974,0.00373505,0.00372006,1.56603,0.139297,0.0735626
5.89009e-05,788.72,1.42685e-05,4.94067,5.53018,4.83639,0.00396935,0.0552706,1.64843,0.108171,0.0614285
5.89009e-05,788.72,1.40932e-05,4.99234,5.53018,4.90477,0.00393857,0.0107286,1.40716,0.0908784,0.108657
5.89009e-05,788.72,1.41231e-05,5.02374,5.27832,4.60419,0.00411631,0.0643878,1.65239,0.117836,0.136147
6.04623e-05,800.383,1.38819e-05,5.02374,5.24141,4.61841,0.00384044,0.0878876,1.14096,0.0906494,0.108117
5.74092e-05,783.354,1.38819e-05,5.02374,5.24141,4.78388,0.00389558,0.0193164,1.30835,0.0706327,0.0706305
5.74092e-05,766.494,1.38819e-05,4.92499,5.57194,4.6349,0.00379885,0.145399,1.28975,0.208398,0.0668094
5.78754e-05,766.494,1.37566e-05,4.92499,5.57194,5.05362,0.00382455,0.0695097,1.46645,0.0779278,0.0797846
5.78754e-05,754.89,1.37566e-05,5.0363,5.57194,4.85435,0.00393875,0.0721869,1.3331,0.099681,0.111007
5.49117e-05,754.89,1.37566e-05,5.0363,5.78647,4.42237,0.00388675,0.0382662,0.982733,0.0754109,0.119047
5.49117e-05,754.89,1.35645e-05,5.15886,5.83871,4.08277,0.00407656,0.0198456,1.73247,0.0643838,0.081129
5.34614e-05,754.89,1.35201e-05,5.15886,6.47308,3.91848,0.00403023,0.0435851,1.24201,0.094919,0.0768465
5.32743e-05,760.173,1.35201e-05,5.15886,6.40036,3.95776,0.00385611,0.0287713,0.965774,0.13662,0.134326
5.21476e-05,767.43,1.35201e-05,5.15886,6.92307,3.94575,0.00376465,0.0141811,0.729496,0.139347,0.146009
5.11173e-05,761.195,1.35129e-05,5.15886,6.92307,3.87932,0.00387268,0.110971,1.94474,0.145555,0.128771
5.24731e-05,749.934,1.35129e-05,5.15886,7.05171,3.91071,0.00413442,0.0203625,1.15143,0.0526082,0.0471014
5.44097e-05,779.549,1.34237e-05,5.20817,6.90151,3.94282,0.00387211,0.064811,1.10562,0.131877,0.136874
5.52462e-05,768.426,1.37842e-05,4.83502,7.29413,3.94282,0.00395788,0.0579827,1.11178,0.110323,0.142632
5.65884e-05,772.086,1.43193e-05,4.9235,7.45045,3.75132,0.00398551,0.0912036,1.28312,0.0982903,0.0615215
5.57731e-05,793.579,1.43193e-05,4.9235,7.45045,3.57001,0.00380911,0.071549,1.69457,0.0784449,0.0664589
5.70588e-05,793.579,1.43193e-05,4.98478,7.38448,3.57001,0.00410524,0.151669,1.21542,0.162159,0.0599343
5.69701e-05,793.579,1.43193e-05,4.98494,7.18907,3.54429,0.0038819,0.0296873,1.54265,0.132695,0.121722
5.62725e-05,805.43,1.41033e-05,5.09747,7.53144,3.53207,0.00387956,0.168691,1.10774,0.0725795,0.139739
5.83941e-05,805.43,1.40618e-05,5.04603,7.32565,3.6169,0.00415771,0.00991725,1.12197,0.148895,0.0770927
5.83941e-05,810.872,1.40618e-05,5.12302,7.49739,3.6169,0.00375116,0.0256518,1.34451,0.0870095,0.100503
5.83941e-05,827.9,1.40618e-05,5.12302,6.59799,3.74704,0.00393007,0.103701,1.24779,0.108532,0.0909512
5.83941e-05,814.518,1.40176e-05,5.12302,6.76114,3.98141,0.00381218,0.0724994,1.62126,0.109789,0.134292
5.83941e-05,840.571,1.42848e-05,5.07732,7.20558,4.06776,0.00402392,0.181941,1.6839,0.108152,0.0574018
