G_tot,gamma,DCaT,Rf,gam_in,gam_out,sigma2,r0,r1,w01,w10
6.047e-05,745.195,1.44642e-05,9.43027,5.46147,4.99968,0.0243062,0.49899,2.45176,0.112195,0.0982575
5.84437e-05,833.242,1.44642e-05,9.26013,5.30523,4.99968,0.0207555,0.423699,2.57345,0.0479528,0.211066
5.5975e-05,868.877,1.44642e-05,9.26013,5.47742,4.96165,0.0171202,0.473753,2.86152,0.0980229,0.0608766
5.4641e-05,868.877,1.41965e-05,9.26013,5.66035,4.54379,0.0169297,0.138863,2.06495,0.0913152,0.0942653
5.15839e-05,868.877,1.41965e-05,9.01629,6.1731,4.38116,0.0156556,0.16189,2.99989,0.122444,0.130778
5.1451e-05,888.878,1.42173e-05,9.01629,6.46162,4.38116,0.0146271,0.00454036,1.86297,0.155022,0.113756
4.89031e-05,888.878,1.42173e-05,8.96184,6.60713,4.37292,0.0157283,0.0369088,2.03846,0.116355,0.122502
4.85964e-05,888.878,1.41572e-05,8.61744,6.65301,4.37292,0.0149445,0.0618169,2.37623,0.09822,0.150956
4.83724e-05,888.878,1.41106e-05,8.61744,6.47874,4.37292,0.0140167,0.0333635,2.1777,0.115638,0.161083
4.78972e-05,888.878,1.38503e-05,8.61744,6.47874,4.12488,0.0143884,0.00495417,2.15283,0.0825574,0.131288
4.71488e-05,888.878,1.37266e-05,8.55674,6.57868,4.17139,0.0140732,0.0155124,2.41963,0.0874242,0.135002
4.66509e-05,889.598,1.36989e-05,8.55674,7.09885,4.23022,0.0147928,0.0125634,2.1446,0.149647,0.0861453
4.5097e-05,896.4,1.36989e-05,8.55674,7.32769,3.97206,0.0145166,0.0396187,2.46315,0.158432,0.120279
4.38723e-05,896.4,1.36989e-05,8.55674,7.48702,3.94079,0.0146539,0.0165826,1.64966,0.0897122,0.0675912
4.3689e-05,932.271,1.36989e-05,8.55674,7.48702,3.76627,0.0142905,0.228499,1.79128,0.0939537,0.116138
4.31819e-05,938.85,1.36989e-05,8.48808,7.45688,3.76627,0.0133431,0.0816897,2.35772,0.166835,0.0485955
4.21397e-05,938.85,1.35235e-05,8.65031,7.87105,3.76627,0.0136802,0.0248954,1.78201,0.0864939,0.0820266
4.02592e-05,938.85,1.35235e-05,8.65031,7.87105,3.76627,0.0135751,0.00696325,2.32635,0.128788,0.0768539
4.02592e-05,938.85,1.35235e-05,8.54204,8.11173,3.6864,0.0134349,0.0123785,2.14583,0.105074,0.0995442
3.98692e-05,945.199,1.35235e-05,8.54204,8.78528,3.77067,0.0131462,0.0839628,2.72743,0.133893,0.0690412
3.94271e-05,945.199,1.35235e-05,8.54714,8.77719,3.77067,0.0135396,0.0409759,2.25272,0.0921028,0.158113
3.94271e-05,945.199,1.35235e-05,8.54714,8.73013,4.07636,0.0132239,0.00223476,1.52163,0.106623,0.202794
3.82401e-05,945.199,1.36368e-05,8.54714,8.67437,3.9776,0.0137053,0.0229148,1.81761,0.0832425,0.0789156
